[1983, 'Australia', 'New Zealand', 'Melbourne', 'ODI # 173', 'New Zealand', '58 runs', 'Jan 22, 1983', 65345]
[1983, 'Australia', 'England', 'Melbourne', 'ODI # 174', 'Australia', '5 wickets', 'Jan 23, 1983', 65346]
[1983, 'Australia', 'England', 'Sydney', 'ODI # 175', 'England', '98 runs', 'Jan 26, 1983', 65347]
[1983, 'England', 'New Zealand', 'Adelaide', 'ODI # 176', 'New Zealand', '4 wickets', 'Jan 29, 1983', 65348]
[1983, 'Australia', 'England', 'Adelaide', 'ODI # 177', 'England', '14 runs', 'Jan 30, 1983', 65349]
[1983, 'Australia', 'New Zealand', 'Adelaide', 'ODI # 178', 'New Zealand', '47 runs', 'Jan 31, 1983', 65350]
[1983, 'England', 'New Zealand', 'Perth', 'ODI # 179', 'New Zealand', '7 wickets', 'Feb 5, 1983', 65351]
[1983, 'Australia', 'New Zealand', 'Perth', 'ODI # 180', 'Australia', '27 runs', 'Feb 6, 1983', 65352]
[1983, 'Australia', 'New Zealand', 'Sydney', 'ODI # 181', 'Australia', '6 wickets', 'Feb 9, 1983', 65353]
[1983, 'Australia', 'New Zealand', 'Melbourne', 'ODI # 182', 'Australia', '149 runs', 'Feb 13, 1983', 65354]
[1983, 'New Zealand', 'England', 'Auckland', 'ODI # 183', 'New Zealand', '6 wickets', 'Feb 19, 1983', 64201]
[1983, 'New Zealand', 'England', 'Wellington', 'ODI # 184', 'New Zealand', '103 runs', 'Feb 23, 1983', 64202]
[1983, 'New Zealand', 'England', 'Christchurch', 'ODI # 185', 'New Zealand', '84 runs', 'Feb 26, 1983', 64203]
[1983, 'New Zealand', 'Sri Lanka', 'Dunedin', 'ODI # 186', 'New Zealand', '65 runs', 'Mar 2, 1983', 64204]
[1983, 'West Indies', 'India', 'Port of Spain', 'ODI # 187', 'West Indies', '52 runs', 'Mar 9, 1983', 64205]
[1983, 'Australia', 'New Zealand', 'Sydney', 'ODI # 188', 'New Zealand', '14 runs', 'Mar 17, 1983', 64206]
[1983, 'New Zealand', 'Sri Lanka', 'Napier', 'ODI # 189', 'New Zealand', '7 wickets', 'Mar 19, 1983', 64207]
[1983, 'New Zealand', 'Sri Lanka', 'Auckland', 'ODI # 190', 'New Zealand', '116 runs', 'Mar 20, 1983', 64208]
[1983, 'West Indies', 'India', 'Albion', 'ODI # 191', 'India', '27 runs', 'Mar 29, 1983', 64209]
[1983, 'West Indies', 'India', "St George's", 'ODI # 192', 'West Indies', '7 wickets', 'Apr 7, 1983', 64210]
[1983, 'Sri Lanka', 'Australia', 'Colombo (PSS)', 'ODI # 193', 'Sri Lanka', '2 wickets', 'Apr 13, 1983', 64211]
[1983, 'Sri Lanka', 'Australia', 'Colombo (PSS)', 'ODI # 194', 'Sri Lanka', '4 wickets', 'Apr 16, 1983', 64212]
[1983, 'Sri Lanka', 'Australia', 'Colombo (SSC)', 'ODI # 195', 'Draw', 'Draw', 'Apr 29, 1983', 64213]
[1983, 'Sri Lanka', 'Australia', 'Colombo (SSC)', 'ODI # 196', 'Draw', 'Draw', 'Apr 30, 1983', 64214]
[1983, 'England', 'New Zealand', 'The Oval', 'ODI # 197', 'England', '106 runs', 'Jun 9, 1983', 65064]
[1983, 'Pakistan', 'Sri Lanka', 'Swansea', 'ODI # 198', 'Pakistan', '50 runs', 'Jun 9, 1983', 65065]
[1983, 'Australia', 'Zimbabwe', 'Nottingham', 'ODI # 199', 'Zimbabwe', '13 runs', 'Jun 9, 1983', 65066]
[1983, 'India', 'West Indies', 'Manchester', 'ODI # 200', 'India', '34 runs', 'Jun 9-10, 1983', 65067]
[1983, 'England', 'Sri Lanka', 'Taunton', 'ODI # 201', 'England', '47 runs', 'Jun 11, 1983', 65068]
[1983, 'New Zealand', 'Pakistan', 'Birmingham', 'ODI # 202', 'New Zealand', '52 runs', 'Jun 11-12, 1983', 65069]
[1983, 'Australia', 'West Indies', 'Leeds', 'ODI # 203', 'West Indies', '101 runs', 'Jun 11-12, 1983', 65070]
[1983, 'India', 'Zimbabwe', 'Leicester', 'ODI # 204', 'India', '5 wickets', 'Jun 11, 1983', 65071]
[1983, 'England', 'Pakistan', "Lord's", 'ODI # 205', 'England', '8 wickets', 'Jun 13, 1983', 65072]
[1983, 'New Zealand', 'Sri Lanka', 'Bristol', 'ODI # 206', 'New Zealand', '5 wickets', 'Jun 13, 1983', 65073]
[1983, 'Australia', 'India', 'Nottingham', 'ODI # 207', 'Australia', '162 runs', 'Jun 13, 1983', 65074]
[1983, 'West Indies', 'Zimbabwe', 'Worcester', 'ODI # 208', 'West Indies', '8 wickets', 'Jun 13, 1983', 65075]
[1983, 'England', 'New Zealand', 'Birmingham', 'ODI # 209', 'New Zealand', '2 wickets', 'Jun 15, 1983', 65076]
[1983, 'India', 'West Indies', 'The Oval', 'ODI # 210', 'West Indies', '66 runs', 'Jun 15, 1983', 65077]
[1983, 'Pakistan', 'Sri Lanka', 'Leeds', 'ODI # 211', 'Pakistan', '11 runs', 'Jun 16, 1983', 65078]
[1983, 'Australia', 'Zimbabwe', 'Southampton', 'ODI # 212', 'Australia', '32 runs', 'Jun 16, 1983', 65079]
[1983, 'England', 'Pakistan', 'Manchester', 'ODI # 213', 'England', '7 wickets', 'Jun 18, 1983', 65080]
[1983, 'New Zealand', 'Sri Lanka', 'Derby', 'ODI # 214', 'Sri Lanka', '3 wickets', 'Jun 18, 1983', 65081]
[1983, 'Australia', 'West Indies', "Lord's", 'ODI # 215', 'West Indies', '7 wickets', 'Jun 18, 1983', 65082]
[1983, 'India', 'Zimbabwe', 'Tunbridge Wells', 'ODI # 216', 'India', '31 runs', 'Jun 18, 1983', 65083]
[1983, 'England', 'Sri Lanka', 'Leeds', 'ODI # 217', 'England', '9 wickets', 'Jun 20, 1983', 65084]
[1983, 'New Zealand', 'Pakistan', 'Nottingham', 'ODI # 218', 'Pakistan', '11 runs', 'Jun 20, 1983', 65085]
[1983, 'Australia', 'India', 'Chelmsford', 'ODI # 219', 'India', '118 runs', 'Jun 20, 1983', 65086]
[1983, 'West Indies', 'Zimbabwe', 'Birmingham', 'ODI # 220', 'West Indies', '10 wickets', 'Jun 20, 1983', 65087]
[1983, 'England', 'India', 'Manchester', 'ODI # 221', 'India', '6 wickets', 'Jun 22, 1983', 65088]
[1983, 'Pakistan', 'West Indies', 'The Oval', 'ODI # 222', 'West Indies', '8 wickets', 'Jun 22, 1983', 65089]
